product_key,product_name,mrp_inr,discount_percent,discounted_price_inr,available_quantity,weight_in_gms,quantity,outOfStock,band_key,status_key,discount_band_key
169,Pillsbury Chakki Fresh Atta,52.0,0,52.0,4,1000,1,False,3,1,1
170,Popular Essentials Saunf/Fennel Seeds,45.0,2,44.0,6,100,100,False,1,1,2
171,Popular Essentials Bansi Sooji,35.0,2,34.0,3,500,500,False,2,1,2
172,Happilo Premium International Queen Kalmi Dates,245.0,29,172.0,6,200,200,False,1,1,3
173,Tata Sampann Unpolished Urad Whole,101.0,6,94.0,4,500,500,False,2,1,2
174,Popular Essentials Cashew Split,325.0,12,283.0,6,250,250,False,1,1,2
175,Popular Essentials Chana Dal (Un-Polished),60.0,10,54.0,6,500,500,False,2,1,2
176,Tata Sampann Unpolished Rajma (Chitra),134.0,6,125.0,6,500,500,False,2,1,2
177,Everest Garam Masala,42.0,2,41.0,2,50,50,False,1,1,2
178,Everest Kitchen King Masala,70.0,14,60.0,2,100,100,False,1,1,2
179,24 Mantra Organic Cumin,70.0,7,65.0,2,100,100,False,1,1,2
180,Nestle Milkmaid,132.0,3,128.0,6,400,400,False,2,1,2
181,Popular Essentials Sona Masouri Steam Rice,65.0,9,59.0,6,1000,1,False,3,1,2
182,24 Mantra Organic Tur Dal,260.0,20,208.0,6,1000,1,False,3,1,3
183,Gits Gulab Jamun Instant Dessert Mix,99.0,10,89.0,6,200,200,False,1,1,2
184,Popular Essentials Black Masoor Whole (Un-Polished),65.0,10,58.0,3,500,500,False,2,1,2
185,24 Mantra Organic Peanuts,135.0,7,125.0,1,500,500,False,2,1,2
186,Everest Hingraj Powder,90.0,10,81.0,2,50,50,False,1,1,2
187,Everest Black Pepper Powder,135.0,14,115.0,6,100,100,False,1,1,2
188,Tata Sampann Masoor Dal Stand,150.0,10,134.0,4,1000,1,False,3,1,2
189,24 Mantra Organic Besan,95.0,7,88.0,5,500,500,False,2,1,2
190,Quaker Oats,199.0,7,184.0,6,1000,1,False,3,1,2
191,Saffola Gold Refined Cooking Oil (Jar),485.0,7,449.0,6,2000,2,False,4,1,2
192,Nestle Everyday Dairy Whitener,210.0,0,210.0,4,400,400,False,2,1,1
193,24 Mantra Organic Red Poha,75.0,8,69.0,1,500,500,False,2,1,2
194,Everest Powder - Tea Masala,98.0,9,89.0,5,100,100,False,1,1,2
195,Tata Sampann Urad Dal Split,94.0,4,90.0,6,500,500,False,2,1,2
196,Popular Essentials Idli Sooji ,30.0,6,28.0,6,500,500,False,2,1,2
197,Popular Essentials Dessicated Coconut,95.0,9,86.0,6,200,200,False,1,1,2
198,Sunfeast Yippee! Mood Masala Noodles,60.0,28,43.0,3,260,260,False,2,1,3
199,Chef's Basket Durum Wheat Elbow Pasta,160.0,50,80.0,6,500,500,False,2,1,4
200,MTR Breakfast Khatta Meetha Poha Mix,25.0,20,20.0,6,60,60,False,1,1,3
201,Satyam Khobra,113.0,10,101.0,5,200,200,False,1,1,2
202,Betty Crocker Complete Pancake Mix Original,110.0,4,105.0,6,250,500,False,1,1,2
203,Borges Durum Wheat Fusilli Pasta ,250.0,0,250.0,3,500,500,False,2,1,1
204,24 Mantra Organic Green Moong Dal - Split,135.0,0,135.0,2,500,500,False,2,1,1
205,Weikfield Vanilla Flavoured Custard Powder,37.0,0,37.0,6,100,100,False,1,1,1
206,Tata Sampann Moong Dal Split,180.0,1,178.0,5,1000,200,False,3,1,2
207,Tata Sampann Kala Chana,64.0,0,64.0,5,500,500,False,2,1,1
208,Saffola Soya Chunks Mealmaker,50.0,0,50.0,2,200,200,False,1,1,1
209,24 Mantra Bura Sugar (Demerara),80.0,10,72.0,6,500,500,False,2,1,2
210,Popular Essentials Green Cardamom (Elaichi),200.0,1,198.0,6,50,50,False,1,1,2
211,Hershey's Syrup Delicious Strawberry,95.0,0,95.0,1,200,200,False,1,1,1
212,Popular Essentials Anjeer,190.0,11,169.0,4,100,100,False,1,1,2
213,Popular Essentials Mustard Seeds Rai Small,20.0,0,20.0,2,100,100,False,1,1,1
214,Weikfield Baking Powder,33.0,3,32.0,6,100,100,False,1,1,2
215,Dabur Honey Squeezy,185.0,9,167.0,6,225,225,False,1,1,2
216,Tata Sampann High Protein Kali Urad,91.0,14,78.0,6,500,500,False,2,1,2
217,Everest Kitchen King Masala,37.0,2,36.0,6,50,50,False,1,1,2
218,Chef's Basket Durum Wheat Fusilli Pasta,160.0,50,80.0,6,500,500,False,2,1,4
219,TilSona Til Oil,180.0,10,162.0,2,500,500,False,2,1,2
220,Top Ramen Chicken Noodles,60.0,10,54.0,1,280,280,False,2,1,2
221,Everest Chaat Masala,35.0,2,34.0,1,50,50,False,1,1,2
222,Keya Wonder Red Hot Chilli Flakes,89.0,10,80.0,2,40,40,False,1,1,2
223,Popular Essentials White Peas (Un-Polished),80.0,10,72.0,5,500,500,False,2,1,2
224,Ching’s Secret Chowmein Hakka Noodles Masala ,44.0,0,44.0,2,60,60,False,1,1,1
225,Dhara Filtered Groundnut Oil (Jar),1050.0,1,1035.0,6,5000,5,False,4,1,2
226,Pillsbury Choco Chip Pancake Mix,99.0,5,94.0,6,165,165,False,1,1,2
227,Hershey's Caramel Syrup,230.0,0,230.0,1,623,623,False,3,1,1
228,Pillsbury Multi Grain Atta,60.0,6,56.0,3,1000,1,False,3,1,2
229,McCain New Mini Samosa with Cheese Corn Style Filling,120.0,1,118.0,2,240,240,False,1,1,2
230,Satyam Puffed Rice Kurmura (A),43.0,0,43.0,6,200,200,False,1,1,1
231,MTR 3 Min Poha,25.0,0,25.0,6,60,60,False,1,1,1
232,Ching's Manchurian Instant Noodles,15.0,0,15.0,5,60,60,False,1,1,1
233,Everest Pav Bhaji Masala,70.0,0,70.0,2,100,100,False,1,1,1
234,Hershey's Chocolate Flavour Syrup,220.0,6,205.0,6,623,680,False,3,1,2
235,Popular Essentials Dhania (Coriander Seeds),55.0,16,46.0,4,200,200,False,1,1,3
236,24 Mantra Red Chilly Whole,70.0,7,65.0,1,100,100,False,1,1,2
237,Dabur Honey - World's No.1,120.0,0,120.0,6,250,250,False,1,1,1
238,24 Mantra Organic Puffed Rice,40.0,2,39.0,6,200,200,False,1,1,2
239,24 Mantra Organic Wheat Daliya ,48.0,2,47.0,2,500,500,False,2,1,2
240,24 Mantra Organic Ragi Flour,65.0,20,52.0,4,500,500,False,2,1,3
241,Popular Essentials Cinnamon Whole (Dalchini),35.0,5,33.0,6,25,25,False,1,1,2
242,Sundrop Super Lite Advanced - Sunflower Oil,215.0,0,215.0,4,1000,1,False,3,1,1
243,Pillsbury Atta/Godihittu - Chakki Fresh,102.0,7,94.0,4,2000,2,False,4,1,2
244,Popular Essentials Green Moong Chilka/Chilka (Un-Polished),85.0,7,79.0,5,500,500,False,2,1,2
245,Popular Essentials HMT Kolam Steam,75.0,0,75.0,3,1000,1,False,3,1,1
246,Popular Essentials Black Urad Split,80.0,10,72.0,4,500,500,False,2,1,2
247,Keya Oregano,109.0,10,98.0,5,9,9,False,1,1,2
248,Popular Essentials Pink Rajma,100.0,10,90.0,6,500,500,False,2,1,2
249,Everest Chicken Masala,74.0,2,72.0,6,100,100,False,1,1,2
250,Popular Essentials HMT Kolam Steam,370.0,10,333.0,6,5000,5,False,4,1,2
251,Everest Shahi Paneer Masala,42.0,4,40.0,5,50,50,False,1,1,2
252,Godrej Yummiez Chicken Nuggets,325.0,9,293.0,1,500,500,False,2,1,2
253,Flying Bird Vanilla Essence,35.0,2,34.0,6,20,20,False,1,1,2
254,Everest Sabji Masala,30.0,3,29.0,6,50,50,False,1,1,2
255,Popular Essentials Californian Almond,695.0,32,470.0,6,500,500,False,2,1,3
256,Cornitos Cornitos Taco Shells - 4 Inches,110.0,20,88.0,6,80,80,False,1,1,3
257,Everest Rajma Masala,33.0,3,32.0,5,50,50,False,1,1,2
258,Popular Essentials White Til,40.0,5,38.0,1,100,100,False,1,1,2
259,Amul Dark Compound Chocolate Slab,125.0,2,122.0,6,500,500,False,2,1,2
260,Mothers Recipe Papad Chana Masala,79.0,10,71.0,6,200,200,False,1,1,2
261,Ching's Schezwan Masala Instant Noodles,60.0,0,60.0,1,240,240,False,1,1,1
262,Amul Milk Compound Chocolate Slab,110.0,2,107.0,6,500,500,False,2,1,2
263,Eastern Chicken Masala,70.0,7,65.0,3,100,100,False,1,1,2
264,Popular Essentials Methi Seeds,25.0,0,25.0,5,100,100,False,1,1,1
265,Saffola Yummy Masala Noodles ,20.0,0,20.0,2,46,46,False,1,1,1
266,Cadbury Hot Chocolate,175.0,5,166.0,6,200,200,False,1,1,2
267,Ching's Chicken Chilli Masala,10.0,0,10.0,6,20,20,False,1,1,1
268,Dabur Keora water - Authentic flavour for Biryani's and Desserts,62.0,6,58.0,6,250,250,False,1,1,2
269,Popular Essentials Black Cardamom/Elaichi ,100.0,10,90.0,6,50,50,False,1,1,2
270,Popular Essentials Idli Rice,60.0,10,54.0,4,1000,1,False,3,1,2
271,Everest Chole Masala,33.0,3,32.0,1,50,50,False,1,1,2
272,Dabur Hommade Tamarind Paste,48.0,6,45.0,6,200,200,False,1,1,2
273,"""Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)""",35.0,2,34.0,6,48,48,False,1,1,2
274,Popular Essentials Cooking Soda,30.0,10,27.0,6,200,200,False,1,1,2
275,RRO Primio Refined Groundnut Oil Pet Bottle,255.0,6,239.0,2,1000,1,False,3,1,2
276,Everest Pani Puri Masala,31.0,3,30.0,6,50,50,False,1,1,2
277,Nissin Cup Noodles Tangy Tomato,50.0,10,45.0,2,70,70,False,1,1,2
278,Ching's Veg Manchurian Masala,10.0,0,10.0,2,20,20,False,1,1,1
279,Ceres Foods Fish Mustard Instant Liquid Masala,220.0,50,110.0,6,200,200,False,1,1,4
280,Everest Garam Masala,158.0,10,142.0,6,200,200,False,1,1,2
281,24 Mantra Organic Jowar Flour,70.0,7,65.0,6,500,500,False,2,1,2
282,Maggi Coconut Milkpowder,100.0,0,100.0,6,100,100,False,1,1,1
283,On1y Pepper Grinder,159.0,9,144.0,1,50,50,False,1,1,2
284,Popular Essentials Rice Flour,60.0,0,60.0,3,1000,1,False,3,1,1
285,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,28.0,10,25.0,1,65,65,False,1,1,2
286,24 Mantra Organic Brown Sona Masoori Rice,95.0,0,95.0,6,1000,1,False,3,1,1
287,Happilo Premium Afghani Anjeer,365.0,29,256.0,2,200,200,False,1,1,3
288,Popular Essentials Chiroti Sooji,35.0,2,34.0,6,500,500,False,2,1,2
289,RRO Til Dil Premium Til Oil Bottle,330.0,10,294.0,5,1000,1,False,3,1,2
290,Popular Essentials Red Rajma,90.0,10,81.0,6,500,500,False,2,1,2
291,Cornitos Peanut - Premium Salted ,120.0,10,108.0,6,150,150,False,1,1,2
292,Popular Essentials Black Pepper,100.0,10,90.0,5,100,100,False,1,1,2
293,24 Mantra Organic Tur Dal - Split,130.0,7,120.0,6,500,500,False,2,1,2
294,Sugarfree Gold Low Calorie Sweetner,65.0,6,61.0,3,110,100,False,1,1,2
295,Ching's Secret Paneer Chilli Masala,10.0,0,10.0,2,20,20,False,1,1,1
296,Dabur Honey ,220.0,7,204.0,3,500,500,False,2,1,2
297,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,28.0,17,23.0,3,65,65,False,1,1,3
298,Everest Tea Masala,55.0,9,50.0,2,50,50,False,1,1,2
299,Ching's Paneer Chilli Masala,44.0,0,44.0,4,60,60,False,1,1,1
300,Sunfeast YiPPee! Magic Masala Noodles,70.0,10,63.0,3,405,405,False,2,1,2
301,Everest Meat Masala Powder,74.0,9,67.0,3,100,100,False,1,1,2
302,Pillsbury Atta With Multigrains Wheat Grains,295.0,16,245.0,6,5000,5,False,4,1,3
303,Mother's Recipe Tamarind Paste,50.0,2,49.0,6,200,200,False,1,1,2
304,Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,49.0,8,45.0,6,200,200,False,1,1,2
305,Popular Essentials Cloves (Lavang),75.0,17,62.0,6,50,50,False,1,1,3
306,Sunfeast Yippee! Power Up Atta Noodles,96.0,15,81.0,6,280,280,False,2,1,2
307,Suhana Paneer Tikka Masala Mix,40.0,5,38.0,6,50,50,False,1,1,2
308,24 Mantra Turmeric Powder,35.0,2,34.0,6,100,100,False,1,1,2
309,24 Mantra Super Grain Quinoa,190.0,0,190.0,4,500,500,False,2,1,1
310,Everest Powder - Egg Curry Masala,40.0,2,39.0,6,50,50,False,1,1,2
311,Popular Essentials Pe Shah Jeera ,60.0,15,51.0,6,50,50,False,1,1,2
312,24 Mantra Organic Sattu Atta,95.0,0,95.0,6,500,500,False,2,1,1
313,Smith & Jones Pasta Masala,46.0,0,46.0,6,54,54,False,1,1,1
314,Weikfield Vanilla Custard Powder,142.0,9,128.0,3,500,500,False,2,1,2
315,Sugarfree Natura Low Calorie Sweetner ,300.0,10,270.0,3,42,42,False,1,1,2
316,Pillsbury Vanilla Custard Powder,37.0,2,36.0,6,100,100,False,1,1,2
317,24 Mantra Organic Rajma,145.0,0,145.0,6,500,500,False,2,1,1
318,Popular Essentials Broken Wheat/Daliya,35.0,2,34.0,6,500,500,False,2,1,2
319,Zorabian Chicken Smoked Ham,205.0,5,194.0,1,250,250,False,1,1,2
320,Smith & Jones Peri Peri Masala,99.0,0,99.0,6,75,75,False,1,1,1
321,Saffola Veggie Twist Masala Oats,195.0,12,171.0,2,500,500,False,2,1,2
322,Popular Essentials Urad Dal Split (Un-Polished),85.0,9,77.0,5,500,500,False,2,1,2
323,Weikfield Baking Powder,22.0,0,22.0,6,50,50,False,1,1,1
324,Popular Essentials Bajra Whole,65.0,13,56.0,6,1000,1,False,3,1,2
325,Weikfield Veg Jelly Crystals - Strawberry,45.0,2,44.0,6,90,90,False,1,1,2
326,Weikfield Veg Jelly Crystals - Raspberry,45.0,2,44.0,6,90,90,False,1,1,2
327,Popular Essentials Masoor Dal Split (Un-Polished),70.0,10,63.0,4,500,500,False,2,1,2
328,Popular Essentials Ajwain Whole,50.0,12,44.0,2,100,100,False,1,1,2
329,Popular Essentials Pista Salted (With Shell),470.0,21,371.0,5,250,250,False,1,1,3
330,The Bake Shop Bread Crumbs,50.0,6,47.0,3,400,400,False,2,1,2
331,Popular Essentials Horse Gram,40.0,10,36.0,4,500,500,False,2,1,2
332,Hershey's Chocolate Syrup,95.0,0,95.0,4,200,200,False,1,1,1
333,Godrej Yummiez Chilli Chicken Sausages ,160.0,10,144.0,3,250,250,False,1,1,2
334,Everest Kasuri Methi,25.0,0,25.0,6,25,25,False,1,1,1
335,Satyam Makhana,208.0,0,208.0,6,100,100,False,1,1,1
336,Everest Tandoori Chicken Masala,39.0,2,38.0,5,50,50,False,1,1,2
337,Weikfield Falooda Mix - Kesar Pista,49.0,2,48.0,3,200,200,False,1,1,2
